Attribute,Anchor Element,GeneratedClause,Label
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","A requirement for Provider is to submit Claims to Plan, using appropriate and current Coded Service Identifiers, within three hundred sixty-five (365) days from the date Health Services are rendered. Claims received after this 365-day period will result in Plan's denial of payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period commences when Provider is notified of primary payor's responsibility. Provider must adhere to industry standards for Claims submission format acceptable to Plan, through either EDI or NUCC-defined paper forms.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","All Claims from Provider to Plan must include appropriate and current Coded Service Identifiers and be submitted within 365 days of the Health Services' rendition date. Plan will deny payment for Claims that fail to meet this 365-day filing requirement. When Plan serves as the secondary payor, the 365-day period for submission begins only after Provider has received notification of primary payor responsibility. Provider is mandated to submit Claims in a Plan-acceptable, industry-standard format, which includes electronic submission via EDI or paper forms specified by the NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider must dispatch Claims to Plan, accurately reflecting Coded Service Identifiers, within three hundred sixty-five (365) days of the date Health Services are provided. Payment will be refused by Plan for Claims submitted after this three hundred sixty-five (365) day period. For claims where Plan is secondary payor, the three hundred sixty-five (365) day clock starts upon Provider's receipt of primary payor notification. Claims from Provider must be in a format consistent with industry standards and acceptable to Plan, either through EDI or using paper forms from the NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Timely submission of Claims to Plan by Provider, with appropriate and current Coded Service Identifiers, is required within 365 days of the service date. Plan will deny payment for any Claims submitted beyond the 365-day limit. The 365-day period for secondary payor Claims where Plan is involved is initiated by Provider's receipt of primary payor responsibility notification. Provider must submit Claims in an industry-standard format acceptable to Plan, employing either electronic data interchange (EDI) or paper forms defined by the NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider is accountable for submitting Claims to Plan, employing appropriate and current Coded Service Identifiers, within three hundred sixty-five (365) days from the date Health Services are rendered. Failure to submit within the 365-day timeframe ensures payment denial from Plan. When Plan acts as the secondary payor, the three hundred sixty-five (365) day period begins upon Provider's receipt of primary payor's responsibility notification. Provider's Claims submission must follow an industry-standard format acceptable to Plan, either electronically via EDI or by utilizing NUCC-defined paper forms.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Claims submission by Provider to Plan is required within 365 days of Health Services delivery, utilizing appropriate and current Coded Service Identifiers. Plan will refuse payment for submissions that do not adhere to the 365-day deadline. For secondary payor situations, the 365-day filing period commences when Provider receives notification of primary payor responsibility. Provider is obligated to submit Claims in a format consistent with industry standards and acceptable to Plan, either through electronic data interchange (EDI) or utilizing paper forms as defined by NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider must present Claims to Plan, incorporating appropriate and current Coded Service Identifiers, within three hundred sixty-five (365) days from the date Health Services are rendered. Plan will deny payment for any Claim submitted after this three hundred sixty-five (365) day period. The three hundred sixty-five (365) day period for secondary payor claims starts upon Provider's notification of primary payor responsibility. Claims must be submitted by Provider in an industry-standard format acceptable to Plan, specifically via EDI or NUCC-defined paper forms.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Submission of Claims from Provider to Plan must occur within 365 days of the Health Services' rendition date, accompanied by appropriate and current Coded Service Identifiers. Payment will be denied by Plan for any Claims received beyond this 365-day period. When Plan is the secondary payor, the 365-day timeframe for submission begins only after Provider receives notification of primary payor responsibility. Provider ensures Claims are submitted in a format consistent with industry standards and acceptable to Plan, either electronically through EDI or using paper forms from NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider must complete Claims submission to Plan, using appropriate and current Coded Service Identifiers, within three hundred sixty-five (365) days following the date Health Services are provided. Plan will not compensate for Claims submitted past the 365-day limit. The three hundred sixty-five (365) day filing period for secondary payor Claims (where Plan is secondary) commences upon Provider's receipt of primary payor notification. Provider is required to submit Claims in an industry-standard format approved by Plan, utilizing either electronic data interchange (EDI) or paper forms defined by the NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Claims must be delivered by Provider to Plan, complete with appropriate and current Coded Service Identifiers, within 365 days from the date Health Services are performed. Plan will deny payment for all Claims submitted after this 365-day window. In secondary payor scenarios, the 365-day clock for Claims filing starts when Provider receives primary payor notification. Provider is mandated to use an industry-standard, Plan-acceptable format for Claims, consisting of electronic submission via EDI or paper forms from NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider is obliged to file Claims with Plan, ensuring the use of appropriate and current Coded Service Identifiers, within three hundred sixty-five (365) days of the service date. Plan will deny payments for submissions exceeding the three hundred sixty-five (365) day timeframe. For claims where Plan acts as secondary payor, the 365-day timeframe begins only after Provider is notified of primary payor responsibility. Provider must submit Claims in a format consistent with industry standards and acceptable to Plan, either electronically through EDI or using paper forms as defined by the NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","All Claims by Provider to Plan, incorporating appropriate and current Coded Service Identifiers, must be submitted within 365 days of Health Services delivery. Payment will be refused by Plan for Claims filed beyond the 365-day deadline. When Plan functions as the secondary payor, the 365-day filing period commences upon Provider's receipt of primary payor responsibility notification. Provider is obligated to submit Claims in an industry-standard format acceptable to Plan, through either electronic data interchange (EDI) or utilizing paper forms as defined by NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider must render Claims to Plan, using appropriate and current Coded Service Identifiers, within three hundred sixty-five (365) days from the date Health Services are rendered. Any Claims submitted beyond these 365 days will result in payment denial by Plan. The three hundred sixty-five (365) day period for secondary payor claims starts upon Provider's notification of primary payor responsibility. Claims submission by Provider must adhere to industry standards and Plan acceptance, utilizing either EDI for electronic transmission or NUCC-defined paper forms.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Submission of Claims from Provider to Plan, complete with appropriate and current Coded Service Identifiers, is required within 365 days from the date services are performed. Plan will deny payment for Claims not received within this 365-day period. For situations where Plan is the secondary payor, the 365-day period begins when Provider receives notification of primary payor's responsibility. Provider ensures Claims are submitted in an industry-standard format approved by Plan, either electronically via EDI or by utilizing paper forms as defined by NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider must transmit Claims to Plan, accurately using Coded Service Identifiers, within three hundred sixty-five (365) days of the date Health Services are provided. Payments will be denied by Plan for Claims submitted past the 365-day deadline. When Plan acts as the secondary payor, the three hundred sixty-five (365) day period commences upon Provider's receipt of primary payor responsibility notification. Provider is required to submit Claims in a format consistent with industry standards and acceptable to Plan, using either electronic data interchange ('EDI') or paper forms defined by the National Uniform Claim Committee ('NUCC').",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Unless otherwise instructed, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), in a timely manner from the date the Health Services are rendered or Plan can deny payment. If Plan is the secondary payor, this timely period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').",non-standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider shall submit Claims to Plan, if possible, using appropriate and current Coded Service Identifier(s), as soon as possible from the date the Health Services are rendered or payment could be rejected by Plan. If Plan is the secondary payor, this prompt period might not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').",non-standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Unless otherwise specified by Plan, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within a reasonable period from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, this reasonable period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').",non-standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), promptly from the date the Health Services are rendered or Claims might not be paid. If Plan is the secondary payor, this prompt period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is generally not feasible, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').",non-standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Unless otherwise instructed, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), without undue delay from the date the Health Services are rendered or Plan might not process payment. If Plan is the secondary payor, the period for submission might not commence until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').",non-standard
